person_id,institution,program,start_date,location,standardized_program,education_year
53,university of buea,bachelor s,,,Other Education,
54,"pune university/fergusson college - pune, maharashtra",bachelor of science in computer science,2013,"pune, maharashtra",Computer Science,2013
55,kabul university,bachelor in computer science,2011,"kabul, af",Computer Science,2011
56,city college of the city university of new york,b.e in computer engineering,06/17,"new york, ny",Other Education,
57,the university of texas at dallas,m.s.,08/11,"dallas, tx",Other Education,
57,university of mumbai,b.e. in electronics engineering,,,Computer Science,
58,the pennsylvania state university,bs in information sciences and technology,06/12,"university park, pa",General Science,
59,university of maryland university college,certificate in information assurance,12/20,"largo, md",Other Education,
59,university of maryland university college,master in information technology,05/20,"largo, md",Information Technology,
59,howard university,bachelor of health in health care management,05/17,"washington, dc",Other Education,
60,university ana. g mendez,bba in business administration and information systems,,"piedras, pr, us",Business Administration,
60,liceo de arte y tecnolog a,ad in electric and industrial electronic technician electrical technician assistant license,,"piedras, pr, us",Electronics Engineering,
62,university of buea,bachelor s in math and computer science,10/2004,buea,Computer Science,2004
63,jawaharlal nehru technological university,bachelor of technology in technology,2007,"hyderabad, telangana",Other Education,2007
64,duquesne university,bachelor of health in sciences,09/94,"pittsburgh, pa",General Science,
64,duquesne university,master of health management systems in health management systems,09/95,"pittsburgh, pa",Other Education,
65,university of maryland university college,b.s. in psychology,09/2020,,Other Education,2020
66,databases coin consultancy and training institute,diploma,,"dunwoody, ga",Other Education,
68,university of science and technology,bs in computer science,,,Computer Science,
69,university of ilorin,b.sc. in computer science,09/05,ilorin,Computer Science,
69,st gabriel comm. sec. sch,s.s.c. in science,09/03,,General Science,
70,mt. hood community college,associates degree in computer application specialist,06/06,"gresham, or",Other Education,
71,jntu university,master of computer application in computer application,,,Other Education,
71,osmania university,bsc in computer science,,,Computer Science,
74,southern new hampshire university,mba in engineering management,05/19,"hooksett, nh",Business Administration,
75,westcliff university,master s in business administration finance,06/18,"cerritos, ca",Business Administration,
75,california university of management sciences,master s in business administration,01/18,"anaheim, ca",Business Administration,
75,kangwon national university,bachelor s in electronic telecommunication engineering,03/01,chuncheon,Other Education,
76,northland college,none in outdoor education,09/92,"ashland, wi",Other Education,
76,central lakes college-brainerd,associate in liberal arts,09/89,"brainerd, mn",Other Education,
77,university of buea,bachelors,12/09,buea,Other Education,
80,nova southeastern university,master of science in information technology in database systems,08/16,"fort lauderdale, fl",Information Technology,
81,university of connecticut,bachelor s in mathematics,08/2007,"storrs, ct",Mathematics,2007
82,center place restoration school,high school diploma,,"independence, mo",Other Education,
82,metropolitan community college,associate of applied science in information technology,,"kansas city, mo",Information Technology,
83,la salle university,bachelor of arts in history,08/13,"philadelphia, pa",Other Education,
84,cornell university,bachelor of science in atmospheric physics,2009,,Physics,2009
85,liverpool hope university,master s in business and management,09/YY,liverpool,Other Education,
85,liverpool hope university,master s in leadership and management,09/YY,liverpool,Other Education,
86,southern new hampshire university,bachelor of science in information technologies in cybersecurity,2019,,Information Technology,2019
87,towson university,b.s,07/14,"baltimore, md",Other Education,
89,western governors university,ms in information technology in management,2018,,Information Technology,2018
89,university of phoenix,bs in information technology/business systems in continuing,2013,,Information Technology,2013
90,university of maryland university college,m.s in database administration,05/14,"adelphi, md",Other Education,
90,university of maryland university college,graduate certificate in database administration,05/12,"adelphi, md",Other Education,
90,saint francis university,bs in mis,05/09,"loretto, pa",Other Education,
91,strayer university,"bachelor of science in research, design",03/2004,"chantilly, va",General Science,2004
91,strayer university,associate of arts in computer information systems,,,Other Education,
91,strayer university,certificate in cooperation,,"parsippany, nj",Other Education,
92,mcs masters in computer science,masters in computer science,,,Computer Science,
92,bcs bachelor of computer science,bachelor of computer science,,,Computer Science,
92,information systems diploma in business administration,diploma in business administration,,,Business Administration,
92,dcp mcp diploma in computer programmer,diploma in computer programmer,,,Other Education,
92,oracle certified associate,oracle certified associate,,,Other Education,
93,university of north texas,bachelor of science in criminal justice,,criminal justice,General Science,
94,san antonio college,mathematics and physics,09/2009,"san antonio, tx",Mathematics,2009
94,university of texas san antonio,electrical engineering,09/2003,"san antonio, tx",Electronics Engineering,2003
95,california state university,bachelor in computer information,,,Other Education,
98,holy cross greek orthodox school of theology,b.a. in history and classical languages,2012,,Other Education,2012
99,"ambrose alli university, ekpoma, edo state",security+ certification,,,Information Technology,
100,anne arundel community college,associate of applied science in information assurance and cybersecurity,08/18,"hanover, md",Information Technology,
101,columbia university through edx,micromasters in artificial intelligence and machine learning,02/19,"new york, ny",AI/ML,
101,radboud university,master s in computer science,08/09,"nijmegen, the netherlands",Computer Science,
101,zuyd hogeschool,bachelor s in computer science,08/05,"heerlen, the netherlands",Computer Science,
102,maseno university,bs in computer science,2008,,Computer Science,2008
104,arizona state university-polytechnic,business communications,08/16,"mesa, az",Other Education,
104,bucks county community college,associates degree in business administration in accounting,12/19,"newtown, pa",Business Administration,
105,university of lagos,bachelor of science in civil and environmental engineering,,"lagos, ng",Civil Engineering,
106,dade college,a.a. in networking services technology,05/2004,"miami, fl",Other Education,2004
107,moscow extern humanitarian university,associate in culture and art,09/1995,moscow,Other Education,1995
108,hamline university,bachelor of arts in digital media arts,05/13,"saint paul, mn",Information Technology,
109,university of south alabama,master of science in computer information sciences,08/15,"mobile, al",General Science,
109,university of south alabama,bachelor of science in international business,2009,"mobile, al",General Science,2009
110,kennesaw state university,master of science in information systems,12/09,"kennesaw, ga",General Science,
110,university of benin,bachelor of engineering in computer engineering,12/05,,Other Education,
112,university of north carolina at charlotte,bachelor of arts in biology,08/2018,"charlotte, nc",Other Education,2018
112,johnston community college,associates of arts,05/2014,,Other Education,2014
112,johnston county early college academy,h.s. diploma,05/2014,,Other Education,2014
113,the george washington university,bachelor of science in applied mathematics,,,Mathematics,
114,osun state college of technology,bachelor s in financial accounting,,,Other Education,
115,university of texas at dallas,m.s. information technology in english,08/17,"dallas, tx",Information Technology,
115,university of texas at dallas,b.s. in information technology,12/16,"dallas, tx",Information Technology,
116,university of illinois at chicago,bachelor of science in information decision sciences,12/17,"chicago, il",General Science,
117,university of michigan,certificate in ux research and design,2019,,Other Education,2019
117,california institute of integral studies,phd in transformative inquiry consciousness studies,12/2018,"san francisco, ca",Other Education,2018
117,arizona state university,master of liberal arts in science and culture,2008,,General Science,2008
117,arizona state university,bs in industrial technology interactive computer graphics 3d,,,Other Education,
118,norfolk state university,b. s. in accounting,,"norfolk, va",Other Education,
120,morgan state university,bachelor of arts in philosophy pre-law,09/12,morgan state university,Other Education,
121,the university,master s degree in computer science,,,Computer Science,
122,university of texas at dallas,m.s in business analytics with specialization in data science and marketing,12/19,"dallas, tx",Information Technology,
122,"cambridge institute of technology, visvesvaraya technological university",b.e in electronics and communication,06/14,,Electronics Engineering,
123,university of minnesota - morris,bachelor of arts in statistics,06/17,mn,Mathematics,
124,university of dschang,bachelors,,,Other Education,
124,prince georges community college,associate,,,Other Education,
125,national university,bachelor s in degree in computer science,,,Computer Science,
126,college of charleston,bachelor of science in marie biology,05/15,"charleston, sc",General Science,
128,university of buea,associate in b.sc. political science and public administration,,,Information Technology,
129,international islamic university of chittagong iiuc,bachelors in science in computer science and engineering,,chittagong,Computer Science,
131,university of illinois at chicago,master of science in computer science,08/2017,"chicago, il",Computer Science,2017
131,sardar vallabhbhai national institute of technology,bachelor of technology in computer engineering,08/2011,,Other Education,2011
132,g. pulla reddy engineering college,b.tech. in electrical and electronics engineering,10/15,"kurnool, andhra pradesh, in",Computer Science,
133,purdue university,bachelor of science in business administration in project management,,,Business Administration,
133,arizona state university,doctorate of behavioral health in behavioral health,,,Other Education,
134,university of texas at dallas,m.s. in business analytics,08/16,"dallas, tx",Data Science,
134,kurukshetra university,bachelors of technology in computer science and engineering,06/14,"kurukshetra, haryana, in",Computer Science,
135,capella university,mba in human resource management,2014,,Business Administration,2014
135,american international university,ba in political science,2005,,Information Technology,2005
135,indiana university,business management information technology,2002,,Information Technology,2002
136,gabelli school of business at fordham university,master of science in information system,12/2016,"new york, ny",General Science,2016
136,school of management at shanghai university of engineering science,bachelor of science in financial management,06/2015,shanghai,General Science,2015
137,west virginia wesleyan college,bachelor of science in molecular biology,05/15,,General Science,
139,university of yaound,bachelor s degree,,,Other Education,
140,los alamitos high school,diploma,09/09,"los alamitos, ca",Other Education,
141,utah state university,"bachelors of arts in history, bachelors of arts in international studies",07/17,"logan, ut",Other Education,
142,university of maryland university college,web design course,2017/,"adelphi, md",Other Education,2017
143,kolhapur institute of technology,bachelor of engineering in engineering computer science,05/15,"kolhapur, maharashtra",Computer Science,
144,western governor s university,bs in accounting,01/20,,Other Education,
144,metropolitan community college of kansas city,aa in business administration,06/18,kansas city,Business Administration,
145,rhode island college,political science business,09/17,"providence, ri",Information Technology,
146,florida international university,bachelor of management information system in suite,,"miami, fl",Information Technology,
147,youngstown state university,bachelor of science in business administration in information and supply chain management,12/18,"youngstown, oh",Business Administration,
147,erie community college,associate of applied science in networking,05/16,"williamsville, ny",General Science,
148,lamar high school,high school diploma,08/2010,"houston, tx",Other Education,2010
149,intranetworking engineering pcage,high school,01/17,"jersey city, nj",Other Education,
150,"indiana university - bloomington, in",bachelor of liberal studies in healthcare administration,12/21,"bloomington, in",Other Education,
151,borough of manhattan cc,associate in computer science,09/13,"manhattan, ny",Computer Science,
152,bapatla engineering college,bachelor s degree in information technology,,information technology,Information Technology,
153,university of california - santa barbara,bachelor s in chemical engineering,09/2018,"santa barbara, ca",Other Education,2018
154,north western polytechnic university,master s in computer science,,"fremont, ca",Computer Science,
154,j.b institute of engineering and technology,bachelor of technology in bio medical engineering,,"hyderabad, telangana",Other Education,
155,metropolitan community college,associates degree in computer science and information systems in cybersecurity,,,Computer Science,
157,university of ado,bachelor of science in geography,09/1996,a,General Science,1996
159,florida state university,master of applied and computational mathematics in applied and computational mathematics,08/14,"tallahassee, fl",Mathematics,
159,tamkang university,bachelor of science in mathematics in mathematics,09/07,"new taipei city, tw",Mathematics,
160,university of arkansas at little rock,master of science in information quality,12/18,"little rock, ar",Information Technology,
160,uttar pradesh technical university,bachelor of engineering in information technology,06/13,"noida, uttar pradesh",Information Technology,
161,northwestern polytechnic university,mba,09/2015,,Business Administration,2015
161,university of south wales,ms in aeronautical engineering,01/2013,,Other Education,2013
162,virginia commonwealth university,bachelor of science in business administration management,2018,,Business Administration,2018
163,kennesaw state university,business administration,08/2010,"kennesaw, ga",Business Administration,2010
164,oxford college of emory university,associate in psychology,08/15,"oxford, ga",Other Education,
164,emory university,bachelor s in psychology and philosophy,08/15,"atlanta, ga",Other Education,
165,adamson university,bachelor of science in information technology,09/13,manila,Information Technology,
166,university of north carolina at asheville,bsc. in computer science,08/16,"asheville, nc",Computer Science,
166,university of north carolina at charlotte,bsc. in computer science,08/16,"charlotte, nc",Computer Science,
167,university of buea,b. sc in biochemistry,,,Other Education,
167,anoka technical college,associates in health information technology,,,Information Technology,
168,devry university,electrical/electronics engineering,2014,"atlanta, ga",Computer Science,2014
169,toni guy hairdressing academy-colorado springs,cosmetology,07/15,"colorado springs, co",Other Education,
169,musicians institute,music,01/11,"hollywood, ca",Other Education,
171,loyola university,bachelor of science in business administration in information systems in systems analysis and design,09/95,"chicago, il",Business Administration,
172,george washington university,bachelors of science,05/10,"washington, dc",General Science,
173,aquinas college,b.a. in english education,08/2012,"nashville, tn",Other Education,2012
174,old dominion university,bachelors of science in modeling and simulation engineering,01/14,"norfolk, va",General Science,
174,ecpi college of technology,associates degree in simulation and game programming,01/10,"newport news, va",Other Education,
175,university of illinois at springfield,bachelor of applied science in management information systems,2015/09,"springfield, il",General Science,2015
175,eastern iowa community college,associate of applied science in applied science,2013/09,,General Science,2013
175,eastern iowa community college,associate of applied computer networking in computer networking,2013/09,,Other Education,2013
175,university of lom,accounting,2007/09,,Other Education,2007
176,umuc,bachelor s in computer networks and cybersecurity,01/17,,Information Technology,
176,cecil college,as in computer engineering,08/12,,Other Education,
176,north east high school,high school diploma,08/08,,Other Education,
177,regis uni,master s in computer science,10/09,"denver, co",Computer Science,
178,maryland college,b. s. in computer science,08/19,"adelphi, md",Computer Science,
179,pittsburg state university,master of science in engineering technology,?/2014,"pittsburg, ks",General Science,2014
181,chittagong university,m.a. in economics,,,Other Education,
182,kwame nkrumah university of science and technology,bachelor of arts in geography and rural development,06/13,ghana,Other Education,
184,campbellsville university,post graduate diploma,05/2020,,Other Education,2020
184,northeastern university of boston,mba,05/2017,"boston, ma",Business Administration,2017
184,university of mumbai,b.sc,05/2013,mumbai,Other Education,2013
185,lagos state university,b.sc. in mathematics,,,Mathematics,
185,kennesaw state university,masters in information systems,,"kennesaw, ga",Other Education,
186,harrisburg university,master of science in information systems engineering and management,,,General Science,
186,"new york institute of technology - new york, ny",bachelor of science in mechanical engineering,,"new york, ny",Mechanical Engineering,
187,institute of technical education and research,bachelor s in electrical and electronics engineering,08/2006,"bhubaneshwar, orissa",Computer Science,2006
188,coker college,bachelor of arts in computer science,08/2006,august 2006 to may 2010,Computer Science,2006
189,american university,bachelors of arts in political science in services management,08/12,"washington, dc",Information Technology,
190,california state university,b.s. in computer engineering,05/14,,Other Education,
191,jimma university,bachelor of science in public health officer,,,General Science,
191,northern virginia community college,associates degree in general studies,,"annandale, va",Other Education,
191,alemaya university,associates degree in public health nursing,,,Other Education,
192,nnamdi azikiwe university,bachelor of science in mathematics,09/09,,Mathematics,
193,jawaharlal nehru technological university hyderabad,bachelor of technology in technology,2009,hyderabad,Other Education,2009
194,chattahoochee technical college,certification in microsoft sql,08/2008,"marietta, ga",Other Education,2008
195,university of oklahoma,computer science,MS/,"norman, ok",Computer Science,
195,jntu,computer science,Bachelor/,"hyderabad, telangana",Computer Science,
198,change management and risk management it training institute,bachelor of arts in banking and finance,2014,"dubai, ae",Other Education,2014
198,university of bamenda,diploma in computer data processing,2013,,Other Education,2013
199,kennesaw state university,master of science in information technology,09/16,"marietta, ga",Information Technology,
199,georgia state university,bachelor of business administration in risk management/information systems,09/06,"atlanta, ga",Business Administration,
201,azerbaijan state economic university,mba,09/2010,,Business Administration,2010
201,azerbaijan state economic university,bachelor,09/2006,,Other Education,2006
202,indiana tech,b.a. in computer networking,2006,,Other Education,2006
204,pittsburg state university,master of science,,"pittsburg, ks",General Science,
206,,bachelor s,,,Other Education,
207,howard university,associate in education,,"washington, dc",Other Education,
208,excelsior college,master s in cybersecurity,07/18,"buffalo, ny",Information Technology,
208,excelsior college,bachelor s in english,12/14,"buffalo, ny",Other Education,
208,excelsior college,associate in administrative management,02/13,"buffalo, ny",Other Education,
209,old dominion university,bachelor degree in information technology,05/06,,Information Technology,
210,uc berkeley extension,certificate in web developer,09/19,"berkeley, ca",Other Education,
210,data group usa,certificate in sql data base administration,04/16,"alexandria, va",Other Education,
210,university of asmara,computer science,09/02,"asmara, eritrea",Computer Science,
212,shippensburg university of pennsylvania,bachelor of science in business administration in management information systems in business administration,09/11,"shippensburg, pa",Business Administration,
214,columbus state university,bba in finance,08/14,"columbus, ga",Other Education,
214,columbus state university,master of science in computer science,08/18,"columbus, ga",Computer Science,
215,"texas state university - san marcos, tx",master of science in computer science,12/18,"san marcos, tx",Computer Science,
215,university of ilorin,bachelor of science in computer science,08/13,,Computer Science,
216,university of georgia - terry college of business,bachelor s in business administration/marketing,08/15,"athens, ga",Business Administration,
216,dove technology,certification in database administration,02/19,,Other Education,
217,university of buea,bachelor s degree in linquistics,,,Other Education,
217,prince georges community college,associate degree in management information system,,,Other Education,
218,moore norman technology center,associate degree,09/17,"norman, ok",Other Education,
218,advance school of public works,certification,09/13,2013 to 2015,Other Education,
220,johnson wales university,master s in business administration,02/18,"providence, ri",Business Administration,
220,sikkim manipal university,bachelor of technology,02/13,,Other Education,
221,southern illinois university carbondale,bachelor degree in information systems technology,2014/09,"carbondale, il",Other Education,2014
221,wabash valley college,applied arts and science in database architecture,2012/09,"wabash, in",Information Technology,2012
222,university of lagos,masters in international law and diplomacy,,lagos,Other Education,
223,augusta state university,bs in mathematics in mathematics in computer science,05/14,"augusta, ga",Computer Science,
224,university of maryland college park,bachelors of science in public health,05/18,"college park, md",General Science,
224,community college of baltimore county,associates of arts in general studies,12/14,,Other Education,
225,baruch college,bachelor of business administration in business administration,,"new york, ny",Business Administration,
226,devry university,bachelor s in network and communications management,09/12,"chicago, il",Other Education,
226,non-commissioned officer academy,certification in basic leadership,03/15,"ball, la",Other Education,
228,makerere university kampala,bachelor s degree in social sciences,,"kampala, ug",General Science,
229,robert morris university,master s in organizational leadership,09/11,"township of moon, pa",Other Education,
229,slippery rock university of pennsylvania,"bachelor s in public relations, minor in marketing",09/07,"slippery rock, pa",Other Education,
231,miami university,bs,05/19,,Other Education,
232,stony brook university,bs in computer science,07/2004,"stony brook, ny",Computer Science,2004
232,onlc training center,certificate of completion in oracle 11g database,01/2015,"columbia, md",Other Education,2015
233,university of maryland,mba,07/19,"adelphi, md",Business Administration,
233,university of lagos,bachelors in business administration,10/00,"lagos, ng",Business Administration,
234,university of karachi,bs in computer science,06/06,karachi,Computer Science,
235,lagos state university,bachelor of science in computer science in databases,02/09,"lagos, nigeria",Computer Science,
238,university of buea,bachelor s in computer engineering,,,Other Education,
239,gulf coast state college,bs in information technology management,09/14,"panama city, fl",Information Technology,
239,gulf coast state college,as in software and database development,09/10,"panama city, fl",Other Education,
240,university of greenwich,master of science,,london,General Science,
241,ladoke akintola university of technology,bsc. in computer business information systems,,osun,Other Education,
242,columbia southern university,b.s. in information systems and cyber security,,,Information Technology,
243,st. joseph s college,computer information system,,,Other Education,
244,addis ababa university,bachelor of science,,,General Science,
246,addis ababa university,b.sc. in mechanical engineering,,"addis ababa, et",Mechanical Engineering,
247,knust ghana,b.sc in mathematics,,kumasi,Mathematics,
248,dixie state university,as degree in information technology,,,Information Technology,
249,abia state university,bachelor of computer science in computer science,01/2004,january 2004 to december 2008,Computer Science,2004
251,university of buea,bachelor of science in computer science,12/10,buea,Computer Science,
252,alemaya university,bachelor s in computer science,,,Computer Science,
254,kent state university,master of science in computer and information sciences,12/16,kent state university,General Science,
255,vellore institute of technology,b.tech in information technology,07/07,"vellore, tamil nadu",Information Technology,
257,olabisi onabanjo university,business administration,08/08,"ikeja, lagos",Business Administration,
258,debre markos university,b.sc. degree in computer science,09/2014,debre markos,Computer Science,2014
260,central texas college,associates in general studies,06/99,,Other Education,
261,western governor s university,b.s. in software development,2021,,Other Education,2021
261,devpoint labs,full stack web development certificate,2014,sal,Other Education,2014
261,university of california-riverside,certification in supply chain management,06/2002,,Other Education,2002
262,bls,computer science,07/2007,november 2010,Computer Science,2007
263,,bachelor s,,,Other Education,
264,strayer university,msc. in information systems,,,Other Education,
264,lagos state university ojo,b.tech. in management technology and business admin,,,Other Education,
266,tulane university,bachelor of science in electrical engineering,09/11,"opelousas, la",Electronics Engineering,
267,pace university,master of science in information systems,05/10,"white plains, ny",General Science,
267,osmania university,bachelor of engineering in computer science,06/07,"hyderabad, telangana",Computer Science,
268,university of buea,bs in environmental science,06/11,buea,General Science,
269,addis ababa university,b.s. in computer science,10/2006,"addis ababa, et",Computer Science,2006
269,addis ababa university commercial college,associate degree in accounting,09/2004,"addis ababa, et",Other Education,2004
270,meridian community college,a.a.s. in computer programming technology,09/10,"meridian, ms",Other Education,
271,miami university,bs,05/19,,Other Education,
272,howard university,llm in international business,2011,"washington, dc",Other Education,2011
272,university of yaounde ii soa,bachelor of science in private international law,2002,,General Science,2002
273,bahir dar university,bachelor in business management,2013,bahir dar,Other Education,2013
273,st mary s university,diploma in information technology,2007,,Information Technology,2007
274,coastline community college,aa in pre-pharmacy studies,07/09,"fountain valley, ca",Other Education,
275,university of bamenda,bachelor s degree in information technology,,bamenda,Information Technology,
276,adekunle ajasin university,b.sc edu . in accounting,07/06,"ondo, nigeria",Other Education,
276,standard computer academy,diploma in computer hardware engineering,01/05,"lagos, gu",Other Education,
277,university of phoenix,bachelor of information technology in database administration,2015/,"phoenix, az",Information Technology,2015
279,university of buea,bachelor s degree,,,Other Education,
280,strayer university,bachelor s degree in business law,10/18,"ocean springs, ms",Other Education,
280,california coast university,associate s degree in business administration,08/08,"ocean springs, ms",Business Administration,
280,jack welch university,masters in healthcare administration,,"ocean springs, ms",Other Education,
281,ucla extension,accounting certificate,06/19,"los angeles, ca",Other Education,
281,hongik university,bachelor s in computer engineering,02/09,"seoul, kr",Other Education,
282,fayetteville state university,bachelor of science,2002,"fayetteville, nc",General Science,2002
282,olive harvey college,associates of science,1995,"chicago, il",General Science,1995
283,university for developments studies,bachelor degree in economics and entrepreneurship development,,,Other Education,
284,strayer university,bs in information systems database development and management,2011,"san antonio, tx",Other Education,2011
284,st philip s college,as,1998,"san antonio, tx",Other Education,1998
285,nagpur university,bachelors of engineering in computer science,09/12,"nagpur, maharashtra",Computer Science,
286,jntu hyderabad,bachelor of technology in technology,,"hyderabad, telangana",Other Education,
287,united states international university,bachelor of science in international business administration,,"nairobi, ke",Business Administration,
288,state university of new york at stony brook,bachelor of science in computer science,,"stony brook, ny",Computer Science,
289,osmania university,bachelor in commerce,2009,commerce,Other Education,2009
290,"punjab technical university - jalandhar, punjab",bachelor s in information technology,03/2008,"jalandhar, punjab",Information Technology,2008
291,central michigan university,bachelor of science in business administration in finance in business administration,08/16,"mount pleasant, mi",Business Administration,
291,central michigan university,"master s in administration, leadership",08/16,"mount pleasant, mi",Other Education,
292,tshwane university of technology,n dip in journalism,2005,,Other Education,2005
293,university of dschang,bachelor s degree in information technology,2012,,Information Technology,2012
294,west liberty university,bachelor of science in criminal justice,2006/10,"west liberty, wv",General Science,2006
295,western governors university,bs in information technology,2016,,Information Technology,2016
295,eastern idaho technical college,certificate in computer science technical,08/2012,"idaho falls, id",Computer Science,2012
296,stratford university,m.s. in information technology,09/17,"falls church, va",Information Technology,
296,ajayi crowther university,b.sc. in business administration,09/12,,Business Administration,
297,university of buea,bs in computer science,,cameroon,Computer Science,
298,university of puerto rico at mayag ez,bachelor of science in business administration,09/12,"mayag ez, pr",Business Administration,
299,north carolina state university,bachelor s in supply chain operations,08/2008,"raleigh, nc",Other Education,2008
300,southern polytechnic state university,bachelor s degree in software engineering,,"marietta, ga",Computer Science,
301,lebanon valley college,master of business administration in healthcare management,08/17,"annville, pa",Business Administration,
301,susquehanna university,bs in finance,05/08,"selinsgrove, pa",Other Education,
302,ogun state polytechnic,higher national diploma h.n.d in mass communication,,,Other Education,
302,the polytechnic,national diploma o.n.d in mass communication,,,Other Education,
303,ogun state polytechnic,higher national diploma in h.n.d mass communication,,,Other Education,
303,the polytechnic,national diploma in o.n.d mass communication,,,Other Education,
304,norfolk state university,bachelor of science in computer engineering,05/15,"norfolk, va",General Science,
305,jawaharlal nehru technological university,b. tech,,"ananthapur, tamil nadu, in",Other Education,
306,the city college of the city university of new york,econometrics,,,Other Education,
307,university of bridgeport,master of science,,,General Science,
307,nagpur university,bachelor of engineering in engineering,,,Other Education,
308,"the college at old westbury, state university of new york",bachelor of science in accounting,,"new york, ny",General Science,
310,university of kentucky,mba in business administration,,"lexington, ky",Business Administration,
310,middle tennessee state university,bachelor of science,,"murfreesboro, tn",General Science,
312,university of delaware,bachelor s in computer science,02/13,"wilmington, de",Computer Science,
312,university of delaware,associate,09/11,"wilmington, de",Other Education,
312,charter school of wilmington,high school or equivalent,05/11,"wilmington, de",Other Education,
313,tulsa community college,mcdba,,,Other Education,
314,indiana university south bend,bachelor of arts in sociology in spanish,03/05,"south bend, in",Other Education,
316,"university of puerto rico - mayag ez, pr",bs in computer engineering,09/09,"mayag ez, pr",Other Education,
317,ajou university,masters in international trade,2011/,,Other Education,2011
317,university of buea,bachelors of science in management,2007/,,General Science,2007
318,jimma university,bachelor s degree in computer science,,,Computer Science,
321,western illionis university,b.a.,05/00,,Other Education,
322,university of maryland university college,bachelor s degree in information technology,,"silver spring, md",Information Technology,
323,"rutgers, the state university of new jersey",master of arts in political science,09/14,"newark, nj",Information Technology,
